,datetimess,values
0,2021-05-08 07:29:59,47.86594
1,2021-05-08 07:29:57,129.8963
2,2021-05-08 07:29:55,94.45955
3,2021-05-08 07:29:53,69.06249
4,2021-05-08 07:29:51,131.0051
5,2021-05-08 07:29:49,66.5266
6,2021-05-08 07:29:47,103.2767
7,2021-05-08 07:29:45,146.2545
8,2021-05-08 07:29:43,91.3026
9,2021-05-08 07:29:41,130.264
10,2021-05-08 07:29:38,106.572
11,2021-05-08 07:29:36,47.77187
12,2021-05-08 07:29:34,96.83296
13,2021-05-08 07:29:32,125.7251
14,2021-05-08 07:29:30,89.02496
15,2021-05-08 07:29:29,141.5503
16,2021-05-08 07:29:26,106.2189
17,2021-05-08 07:29:24,48.61895
18,2021-05-08 07:29:22,157.2389
19,2021-05-08 07:29:20,100.5688
20,2021-05-08 07:29:18,104.0826
21,2021-05-08 07:29:16,117.4204
22,2021-05-08 07:29:14,47.18306
23,2021-05-08 07:29:12,116.6432
24,2021-05-08 07:29:10,79.7491
25,2021-05-08 07:29:08,72.50104
26,2021-05-08 07:29:06,144.9347
27,2021-05-08 07:29:04,58.83632
28,2021-05-08 07:29:02,115.1015
29,2021-05-08 07:29:00,126.0409
30,2021-05-08 07:28:58,56.85084
31,2021-05-08 07:28:56,141.9788
32,2021-05-08 07:28:54,113.2713
33,2021-05-08 07:28:52,148.2517
34,2021-05-08 07:28:50,150.8021
35,2021-05-08 07:28:48,116.6588
36,2021-05-08 07:28:45,143.5304
37,2021-05-08 07:28:43,106.8607
38,2021-05-08 07:28:41,121.464
39,2021-05-08 07:28:39,156.5287
40,2021-05-08 07:28:37,125.4937
41,2021-05-08 07:28:35,102.8789
42,2021-05-08 07:28:33,128.0678
43,2021-05-08 07:28:31,140.818
44,2021-05-08 07:28:29,125.7553
45,2021-05-08 07:28:27,101.6895
46,2021-05-08 07:28:26,133.8704
47,2021-05-08 07:28:23,151.1375
48,2021-05-08 07:28:21,109.6715
49,2021-05-08 07:28:19,51.29241
50,2021-05-08 07:28:17,109.2226
51,2021-05-08 07:28:15,145.8643
52,2021-05-08 07:28:13,127.8884
53,2021-05-08 07:28:11,83.54513
54,2021-05-08 07:28:09,92.56361
55,2021-05-08 07:28:07,152.4402
56,2021-05-08 07:28:05,148.4837
57,2021-05-08 07:28:03,99.21909
58,2021-05-08 07:28:01,124.2951
59,2021-05-08 07:27:59,147.7752
60,2021-05-08 07:27:57,96.46184
61,2021-05-08 07:27:55,91.20756
62,2021-05-08 07:27:53,126.489
63,2021-05-08 07:27:50,148.0654
64,2021-05-08 07:27:48,134.1622
65,2021-05-08 07:27:46,105.8054
66,2021-05-08 07:27:44,111.9985
67,2021-05-08 07:27:42,146.3643
68,2021-05-08 07:27:40,142.5765
69,2021-05-08 07:27:38,97.86781
70,2021-05-08 07:27:36,120.1195
71,2021-05-08 07:27:34,144.4071
72,2021-05-08 07:27:32,124.6377
73,2021-05-08 07:27:30,72.49352
74,2021-05-08 07:27:28,90.0272
75,2021-05-08 07:27:26,149.5157
76,2021-05-08 07:27:24,143.5398
77,2021-05-08 07:27:22,86.65395
78,2021-05-08 07:27:20,55.90841
79,2021-05-08 07:27:18,135.7187
80,2021-05-08 07:27:16,148.5202
81,2021-05-08 07:27:14,107.6974
82,2021-05-08 07:27:12,103.0359
83,2021-05-08 07:27:10,134.5806
84,2021-05-08 07:27:07,117.5984
85,2021-05-08 07:27:05,128.0044
86,2021-05-08 07:27:03,111.4307
87,2021-05-08 07:27:01,144.423
88,2021-05-08 07:26:59,149.8273
89,2021-05-08 07:26:58,77.7849
90,2021-05-08 07:26:55,63.09841
91,2021-05-08 07:26:53,134.5755
92,2021-05-08 07:26:51,149.2461
93,2021-05-08 07:26:49,120.1955
94,2021-05-08 07:26:47,121.7295
95,2021-05-08 07:26:45,110.2676
96,2021-05-08 07:26:43,152.286
97,2021-05-08 07:26:41,96.76894
98,2021-05-08 07:26:39,66.0601
99,2021-05-08 07:26:37,141.025
100,2021-05-08 07:26:35,156.5435
101,2021-05-08 07:26:33,96.9827
